seed,method,pair,dist1,dist2,dcor
0,Mixed,a-b,a,b,0.07058299119768048
0,Mixed,a-c,a,c,0.0877132203773265
0,Mixed,a-d,a,d,0.23732674099167245
0,Mixed,a-e,a,e,0.326872984338491
0,Mixed,a-f,a,f,0.3053443280545886
0,Mixed,a-g,a,g,0.10657702782184858
0,Mixed,a-h,a,h,0.20728625719459823
0,Mixed,a-i,a,i,0.05590111624477756
0,Mixed,a-j,a,j,0.22905615476820532
0,Mixed,a-k,a,k,0.2304949252165224
0,Mixed,a-l,a,l,0.08640872021352768
0,Mixed,a-m,a,m,0.10155216409605813
0,Mixed,a-n,a,n,0.10271822634624338
0,Mixed,a-o,a,o,0.1509772861748805
0,Mixed,a-p,a,p,0.3000403088107991
0,Mixed,a-q,a,q,0.2522752428303078
0,Mixed,a-r,a,r,0.2937056338663362
0,Mixed,b-c,b,c,0.06784007654203705
0,Mixed,b-d,b,d,0.15190892147765464
0,Mixed,b-e,b,e,0.2954109719212928
0,Mixed,b-f,b,f,0.0852224842343204
0,Mixed,b-g,b,g,0.10597452665914112
0,Mixed,b-h,b,h,0.19393055361397873
0,Mixed,b-i,b,i,0.2822270956894209
0,Mixed,b-j,b,j,0.24123590069472456
0,Mixed,b-k,b,k,0.0802002430395639
0,Mixed,b-l,b,l,0.2689002059403435
0,Mixed,b-m,b,m,0.2235681606385343
0,Mixed,b-n,b,n,0.1632157469571493
0,Mixed,b-o,b,o,0.4526758546175442
0,Mixed,b-p,b,p,0.43418806578454266
0,Mixed,b-q,b,q,0.12464875925311951
0,Mixed,b-r,b,r,0.24310700815938702
0,Mixed,c-d,c,d,0.0953671874134294
0,Mixed,c-e,c,e,0.04639571236097224
0,Mixed,c-f,c,f,0.05512680356756334
0,Mixed,c-g,c,g,0.08323858150406227
0,Mixed,c-h,c,h,0.05510855506528435
0,Mixed,c-i,c,i,0.17876078929318867
0,Mixed,c-j,c,j,0.05353358079325697
0,Mixed,c-k,c,k,0.183529638936506
0,Mixed,c-l,c,l,0.3207766348402446
0,Mixed,c-m,c,m,0.5336562130543036
0,Mixed,c-n,c,n,0.20522776561096698
0,Mixed,c-o,c,o,0.1015008779057567
0,Mixed,c-p,c,p,0.15401070361758062
0,Mixed,c-q,c,q,0.36788561256919156
0,Mixed,c-r,c,r,0.06035214541401788
0,Mixed,d-e,d,e,0.09782616032835366
0,Mixed,d-f,d,f,0.10307507799448448
0,Mixed,d-g,d,g,0.17873828093074678
0,Mixed,d-h,d,h,0.06322693505256757
0,Mixed,d-i,d,i,0.0769781659713066
0,Mixed,d-j,d,j,0.050225344831799974
0,Mixed,d-k,d,k,0.14550290784161024
0,Mixed,d-l,d,l,0.2860965240322517
0,Mixed,d-m,d,m,0.09025963342646694
0,Mixed,d-n,d,n,0.10072246409962939
0,Mixed,d-o,d,o,0.10782623574616083
0,Mixed,d-p,d,p,0.1550450719320519
0,Mixed,d-q,d,q,0.15638130989994595
0,Mixed,d-r,d,r,0.09008259758333209
0,Mixed,e-f,e,f,0.4465163275648391
0,Mixed,e-g,e,g,0.1560833014893637
0,Mixed,e-h,e,h,0.060695189345543264
0,Mixed,e-i,e,i,0.39551560667641433
0,Mixed,e-j,e,j,0.32201170225398507
0,Mixed,e-k,e,k,0.06286720174260377
0,Mixed,e-l,e,l,0.06854998849243071
0,Mixed,e-m,e,m,0.14030613156606078
0,Mixed,e-n,e,n,0.21656869029074807
0,Mixed,e-o,e,o,0.08604510891979493
0,Mixed,e-p,e,p,0.26173563378864456
0,Mixed,e-q,e,q,0.06959958374333795
0,Mixed,e-r,e,r,0.06416166735739819
0,Mixed,f-g,f,g,0.47277023994628925
0,Mixed,f-h,f,h,0.13023204015046377
0,Mixed,f-i,f,i,0.21083530688463442
0,Mixed,f-j,f,j,0.2308134245854913
0,Mixed,f-k,f,k,0.13354103672997195
0,Mixed,f-l,f,l,0.07748450457990423
0,Mixed,f-m,f,m,0.07835853615173391
0,Mixed,f-n,f,n,0.5369908136971738
0,Mixed,f-o,f,o,0.05199912560408899
0,Mixed,f-p,f,p,0.09015881843058147
0,Mixed,f-q,f,q,0.10472566916295692
0,Mixed,f-r,f,r,0.27702088251232193
0,Mixed,g-h,g,h,0.30190445705114477
0,Mixed,g-i,g,i,0.4438380100818417
0,Mixed,g-j,g,j,0.23194972962365554
0,Mixed,g-k,g,k,0.1248297612422818
0,Mixed,g-l,g,l,0.08215979821828114
0,Mixed,g-m,g,m,0.25890860455542464
0,Mixed,g-n,g,n,0.5553736432133186
0,Mixed,g-o,g,o,0.2799294154522532
0,Mixed,g-p,g,p,0.15503830481100184
0,Mixed,g-q,g,q,0.19593651290840394
0,Mixed,g-r,g,r,0.16444813386589605
0,Mixed,h-i,h,i,0.07756087037327096
0,Mixed,h-j,h,j,0.17270533107311145
0,Mixed,h-k,h,k,0.25542373528477413
0,Mixed,h-l,h,l,0.0911307127631133
0,Mixed,h-m,h,m,0.22482494995499336
0,Mixed,h-n,h,n,0.05686966232297713
0,Mixed,h-o,h,o,0.4074302533894601
0,Mixed,h-p,h,p,0.06693137255064327
0,Mixed,h-q,h,q,0.10861309692020037
0,Mixed,h-r,h,r,0.46895353158564823
0,Mixed,i-j,i,j,0.07486579261193398
0,Mixed,i-k,i,k,0.08198859226630278
0,Mixed,i-l,i,l,0.0652135263271191
0,Mixed,i-m,i,m,0.32544029545427
0,Mixed,i-n,i,n,0.14052442711809107
0,Mixed,i-o,i,o,0.08782081017700735
0,Mixed,i-p,i,p,0.1340445703676443
0,Mixed,i-q,i,q,0.06846436991867338
0,Mixed,i-r,i,r,0.05839954646480115
0,Mixed,j-k,j,k,0.18235003654310436
0,Mixed,j-l,j,l,0.3126172216158313
0,Mixed,j-m,j,m,0.2522471541520126
0,Mixed,j-n,j,n,0.09200335216698895
0,Mixed,j-o,j,o,0.1426317502767928
0,Mixed,j-p,j,p,0.17621524794500157
0,Mixed,j-q,j,q,0.083802353158904
0,Mixed,j-r,j,r,0.17875601730408128
0,Mixed,k-l,k,l,0.3285033566494132
0,Mixed,k-m,k,m,0.20046000558081253
0,Mixed,k-n,k,n,0.17442684800612548
0,Mixed,k-o,k,o,0.05576703570413402
0,Mixed,k-p,k,p,0.08272248859972091
0,Mixed,k-q,k,q,0.18445881798214037
0,Mixed,k-r,k,r,0.3202274898384847
0,Mixed,l-m,l,m,0.27112178032998246
0,Mixed,l-n,l,n,0.08571067611934942
0,Mixed,l-o,l,o,0.29014846849413645
0,Mixed,l-p,l,p,0.16564534833691638
0,Mixed,l-q,l,q,0.3132058697621305
0,Mixed,l-r,l,r,0.1600219053462098
0,Mixed,m-n,m,n,0.17229558839655704
0,Mixed,m-o,m,o,0.24987960323346275
0,Mixed,m-p,m,p,0.30659951510282507
0,Mixed,m-q,m,q,0.2566093393041939
0,Mixed,m-r,m,r,0.10285525157294605
0,Mixed,n-o,n,o,0.09153564052885371
0,Mixed,n-p,n,p,0.17106615713363083
0,Mixed,n-q,n,q,0.10157416812261816
0,Mixed,n-r,n,r,0.05736844984222063
0,Mixed,o-p,o,p,0.061724860666113955
0,Mixed,o-q,o,q,0.2885418608769768
0,Mixed,o-r,o,r,0.08089703487012351
0,Mixed,p-q,p,q,0.08244754811522446
0,Mixed,p-r,p,r,0.22952226386112873
0,Mixed,q-r,q,r,0.13542855700142065
0,ZCA,a-b,a,b,0.05623246266239814
0,ZCA,a-c,a,c,0.05749478359163173
