distribution,Cholesky,Mixed,PCA,PCA-cor,ZCA,ZCA-cor
a,0.13206089491304762,0.0,0.13219377347273004,0.13229700165721875,0.1316241682332332,0.1316614878303912
b,0.1360433463673459,0.0,0.13674783286520206,0.1362929200445568,0.13627672003830438,0.1362478312838068
c,0.1443289183069096,0.0,0.1445122543373514,0.14474551623801318,0.1443221500590084,0.1444839219605714
d,0.13895914995038144,0.0,0.1390333680813129,0.13909935586999594,0.13874464943942214,0.13880847836087656
e,0.13332550736403553,0.0,0.13316211942985504,0.13287743516929754,0.13227155444957095,0.13232074374519512
f,0.14646589496234658,0.0,0.14630781066664236,0.14605095658517053,0.146162818193493,0.14621320560053402
g,0.14890525768487797,0.0,0.14894633000151203,0.1484722715493421,0.14878192334945955,0.1488894756296544
h,0.14681448244057776,0.0,0.1470128116030467,0.1469424291957344,0.14620591389155463,0.1462707388918771
i,0.14630819351986832,0.0,0.14623428323395585,0.14658262374358072,0.14567080521499876,0.14564009185135532
j,0.1428685258061942,0.0,0.14348798537264856,0.14364208953370536,0.14310234073949285,0.1430732117841379
k,0.1461828863814936,0.0,0.14596610794564613,0.14594775509514682,0.14629480272577897,0.1461900963111092
l,0.14621736906238395,0.0,0.14586595042954584,0.145874490040672,0.1462824787814331,0.14618566908727793
m,0.14757391883456947,0.0,0.14699916349795153,0.14721103517763293,0.14763796519532768,0.14758309922829427
n,0.14636811105836098,0.0,0.1452815902599631,0.14529148176808132,0.14665274322098282,0.14650581579956215
o,0.14661925993689578,0.0,0.14567122707369096,0.14553209812664533,0.146782171384819,0.14672595906447522
p,0.14758533460502318,0.0,0.14782428250998897,0.1474720916394189,0.14708698765304665,0.1472372712167962
q,0.14675010853184345,0.0,0.14594879694587437,0.14588234097479294,0.14659726707971898,0.14655459591754016
r,0.14645640664921625,0.0,0.14562988966998613,0.145584303689143,0.14652314625281426,0.14649037762743686
