distribution,Cholesky,Mixed,PCA,PCA-cor,ZCA,ZCA-cor
a,0.1800114915751777,0.31207238648822533,0.1798786130154953,0.17977538483100658,0.18044821825499213,0.18041089865783413
b,0.1620735462832029,0.2981168926505488,0.16136905978534674,0.16182397260599202,0.16184017261224443,0.161869061366742
c,0.1475094572731128,0.2918383755800224,0.147326121242671,0.14709285934200922,0.147516225521014,0.14735445361945101
d,0.16089589397398407,0.2998550439243655,0.16082167584305262,0.16075568805436957,0.16111039448494338,0.16104656556348895
e,0.18798033400272118,0.3213058413667567,0.18814372193690168,0.18842840619745918,0.18903428691718577,0.1889850976215616
f,0.14786244943749194,0.2943283443998385,0.14802053373319615,0.14827738781466798,0.14816552620634552,0.1481151387993045
g,0.14824864652783767,0.29715390421271565,0.14820757421120362,0.14868163266337356,0.1483719808632561,0.14826442858306124
h,0.14840420859888304,0.2952186910394608,0.1482058794364141,0.14827626184372641,0.14901277714790617,0.1489479521475837
i,0.14906233465975546,0.2953705281796238,0.14913624494566793,0.14878790443604306,0.14969972296462503,0.14973043632826846
j,0.16839391010987032,0.3112624359160645,0.16777445054341594,0.16762034638235915,0.16816009517657166,0.1681892241319266
k,0.15123397030789218,0.2974168566893858,0.15145074874373965,0.15146910159423896,0.1511220539636068,0.15122676037827656
l,0.15048077316346245,0.2966981422258464,0.15083219179630056,0.1508236521851744,0.1504156634444133,0.15051247313856847
m,0.1481129704027805,0.29568688923735,0.14868772573939845,0.14847585405971706,0.1480489240420223,0.1481037900090557
n,0.14842525650810587,0.29479336756646685,0.14951177730650375,0.14950188579838553,0.14814062434548403,0.1482875517669047
o,0.1479232716111729,0.2945425315480687,0.14887130447437774,0.14901043342142337,0.1477603601632497,0.14781657248359348
p,0.14957984142018485,0.29716517602520803,0.14934089351521906,0.14969308438578913,0.1500781883721614,0.14992790480841184
q,0.15013613728164482,0.29688624581348827,0.1509374488676139,0.15100390483869533,0.15028897873376929,0.1503316498959481
r,0.1498885859340198,0.29634499258323604,0.1507151029132499,0.15076068889409305,0.14982184633042178,0.1498546149557992
