distribution,seed,method,mean_dcor,sd_dcor,p95_dcor,max_dcor
a,0,Mixed,0.3405568745223893,0.1593684294131301,0.6480416839325444,0.8009206635494713
a,0,ZCA,0.1712144093935329,0.031812096449083165,0.22950298157431004,0.26054034973888285
a,0,PCA,0.16763863132218124,0.026436380264349937,0.21271862649313694,0.2425341891876442
a,0,Cholesky,0.15945892873963072,0.024016252385181923,0.19302914016899345,0.2111991192212413
a,0,ZCA-cor,0.1716663083771409,0.03445697996247022,0.23014841046237478,0.2608727579672091
a,0,PCA-cor,0.16669020572586402,0.024846131075383134,0.2113231663320954,0.24664595481383578
a,1,Mixed,0.2927434213597944,0.14235830890093776,0.5877126370258264,0.7371309235224048
a,1,ZCA,0.1864860820249762,0.03102112268119569,0.23656745766837498,0.26275274301377227
a,1,PCA,0.18244169751679867,0.030104390381102835,0.24445279339136192,0.2714812547229943
a,1,Cholesky,0.17777062536478233,0.02828475942821031,0.2336868441345488,0.24017322320503634
a,1,ZCA-cor,0.18648850865920835,0.03294631471056127,0.24027367186345075,0.2822214058292689
a,1,PCA-cor,0.180360744380754,0.02869971546306342,0.232573012622212,0.26027849078208987
a,2,Mixed,0.29244042681566684,0.15999765432179056,0.6940996440121736,0.7398954119372654
a,2,ZCA,0.1788820280971002,0.029568620075700085,0.22928507872483908,0.2741992137573989
a,2,PCA,0.17394922708652044,0.028268642058468525,0.2201756272429938,0.2532094109189847
a,2,Cholesky,0.17904317652354165,0.030298961459293866,0.23675245090943683,0.2619924786944596
a,2,ZCA-cor,0.17864406142340722,0.029400834728840555,0.22398204109459613,0.2688161947458096
a,2,PCA-cor,0.1757349011681019,0.02880308557637733,0.23012295509675568,0.25757381719659683
a,3,Mixed,0.31184613231677577,0.11576257990186405,0.5468102840153546,0.6230226198206757
a,3,ZCA,0.1834172478383317,0.029250579017675134,0.24046694220356152,0.2655462154164742
a,3,PCA,0.18285295820295652,0.025959481412009718,0.22515339436109616,0.23666409788154363
a,3,Cholesky,0.18015613329958466,0.026768074075987008,0.23430605148981237,0.24630381433581244
a,3,ZCA-cor,0.18360912239180185,0.0305362288150505,0.22840705576879386,0.28445459306068416
a,3,PCA-cor,0.17875382569304105,0.024987561119320666,0.212374665164818,0.2326663901284475
